listing_id,id,date,reviewer_id,reviewer_name,comments
3345341,20792848,2014-10-05,7433923,Baranna,"Nice apartment in a great neighborhood for getting around anywhere downtown A short walk to the Link rail for easy access to and from the airport and to Pioneer Square and Chinatown. Walking distance to Pike Place Market, great restaurants and excellent shopping. I even walked up to Capital Hill. I'd recommend it to anyone looking for a comfortable, affordable place to stay downtown."
3345341,21308401,2014-10-14,6758495,Christoph,"Amy's apartment is awesome.10 min walk to pike place market.
The bed is super-comfortable. Would definitely go book her place again."
3345341,21537257,2014-10-19,21859257,Peter,"Great place.  It was an easy walk to downtown.  Pike's Place Market was a quick walk away.  We took the Link train from the airport and the location was conveniently located by the train station. 

If you want to save money by cooking on your own, Amy's place is an awesome stay.  She even had some basic food available for us. 

The place was clean.

One note:  Her description about getting around indicated that there was an UNLIMITED transit card.  I saw that in the description and contacted her housekeeper.  Unfortunately there wasn't one.  I will advise her to update her description.  We didn't even need the transit card as we walked around everywhere.

Overall awesome experience. "
3345341,21962572,2014-10-27,13676458,Lalita,"The apartment is beautiful and clean! Key pick up and drop off was super convenient. Most places are walking distance, which is very convenient as well. Thanks Amy! :) "
3345341,22310611,2014-11-03,5881559,Gabe,"I absolutely loved this place! The condo is exactly what you see in the photo: clean, neat and very modern. The condo is conveniently located at the center of pretty much everything. You can walk to the waterfront within 10 minutes, and the Space Needle was very close too. I did not meet Amy; however, I did meet the individual that assisted Amy with the condo and picked up the keys from her. They were very easy to get a hold of, hassle free and nice. I would highly recommend Amy’s place if you are visiting Seattle. "
3345341,22535799,2014-11-09,20076735,Jennifer,"Amy and her assistant Michelle were EXTREMELY responsive and helpful before and during our trip! The location of the apartment is excellent - close to the light rail if you are coming from the airport. It's an easy walk everywhere else - Seattle Center, Capitol Hill and the Pike Place Market. Returning to the apartment after dark isn't a problem - the neighborhood is safe and quiet. It's mostly offices and hotels in the immediate area. 

The apartment is just as it appears in the photos. It was just two of us staying this trip, but the living room is generously sized and would easily accommodate the inflatable bed without feeling cramped. The bedroom is fine for two people.  "
3345341,22764582,2014-11-14,6945118,Lynn,"Amy's place was great!couldn't really get more central, the flat was clean with all amenities that you could need!check-in and check-out worked flawlessly (even accommodating my very late arrival around midnight).amy was very responsive.if i had to raise one negative point, it would be the internet connection that was a little flaky at times (i only mention this in case you need to rely on a high speed connection for work,for anything else it was perfectly fine). Definitely recommend!"
3345341,23125420,2014-11-23,23616360,Ramin,"Everything from prospecting to booking to checkout was a seamless and wonderful experience. Amy's assistant Michelle was in constant contact and made sure to check in with me throughout our stay to ensure our needs were met. 

The apartment itself was in a great location and easy access to many Seattle attractions. I would definitely stay here again and recommend it to others! 

The only minor issue is that the apartment shares its wifi with a market next door and the connection was spotty at times. Otherwise, highly enjoyable experience. Thank you Michelle and Amy!!!"
3345341,23327294,2014-11-29,22588434,Jocie,"Very great location. I could walk to most of the attractions within 15 minutes. It's also near many bus stations and light rail. The studio was cute and clean.The house keeper, Michelle, was very welcome and helpful. She gave me lots of suggestions before the visit. I forgot to take the keys and Michelle was so kind to drove to the studio at night. Sorry about that! Very great experience in Seattle!"
3345341,23630305,2014-12-07,7453832,Marissa,"Amy's apartment was fantastic.  The location is perfect - right in the middle of great shopping and restaurants, and a short walk from Pike Place and the waterfront.  The apartment is clean, spacious, and cozy, and the amenities were great.  Michelle was a great host, and check in was super easy. Thank you!"
